Time [s],Channel 0,Channel 1,Channel 2,Channel 3
0.001561368,0,0,0,0
0.001561470,0,1,0,1
0.001567248,0,0,0,1
0.001567250,0,0,0,0
0.001567348,0,0,1,0
0.001567350,1,0,1,0
0.001573128,0,0,0,0
0.001573230,0,1,0,1
0.001579010,0,0,0,0
0.001579108,0,0,1,0
0.001579110,1,0,1,0
0.001584888,1,0,0,0
0.001584890,0,0,0,0
0.001584990,0,1,0,1
0.001590770,0,0,0,0
0.001590868,0,0,1,0
0.001590870,1,0,1,0
0.001596648,0,0,0,0
0.001596750,0,1,0,1
0.001602530,0,0,0,0
0.001602630,1,0,1,0
0.001608410,0,0,0,0
0.001608510,0,1,0,0
0.001608512,0,1,0,1
0.001614290,0,0,0,0
0.001614390,1,0,1,0
0.001620170,0,0,0,0
0.001620270,0,1,0,0
0.001620272,0,1,0,1
0.001626050,0,0,0,1
0.001626052,0,0,0,0
0.001626150,1,0,1,0
0.001631930,0,0,0,0
0.001632032,0,1,0,1
0.001637810,0,0,0,1
0.001637812,0,0,0,0
0.001637910,1,0,1,0
0.001643690,0,0,0,0
0.001643792,0,1,0,1
0.001649570,0,0,0,1
0.001649572,0,0,0,0
0.001649670,0,0,1,0
0.001649672,1,0,1,0
0.001655450,1,0,0,0
0.001655452,0,0,0,0
0.001655552,0,1,0,1
0.001661332,0,0,0,0
0.001661430,0,0,1,0
0.001661432,1,0,1,0
0.001667210,1,0,0,0
0.001667212,0,0,0,0
0.001667312,0,1,0,1
0.001673092,0,0,0,0
0.001673192,1,0,1,0
0.001678972,0,0,0,0
0.001679072,0,1,0,0
0.001679074,0,1,0,1
0.001684852,0,0,0,0
0.001684952,1,0,1,0
0.001690730,1,0,0,0
0.001690732,0,0,0,0
0.001690832,0,1,0,1
0.001696612,0,0,0,0
0.001696712,1,0,1,0
0.001702490,1,0,0,0
0.001702492,0,0,0,0
0.001702592,0,1,0,1
0.001708372,0,0,0,0
0.001708472,1,0,1,0
0.001714252,0,0,0,0
0.001714354,0,1,0,1
0.001720132,0,0,0,0
0.001720232,1,0,1,0
0.001726012,0,0,0,0
0.001726114,0,1,0,1
0.001731894,0,0,0,0
0.001731992,0,0,1,0
0.001731994,1,0,1,0
0.001737772,1,0,0,0
0.001737774,0,0,0,0
0.001737874,0,1,0,1
0.001743652,0,0,0,1
0.001743654,0,0,0,0
0.001743752,0,0,1,0
0.001743754,1,0,1,0
0.001749532,0,0,0,0
0.001749634,0,1,0,1
0.001755414,0,0,0,0
0.001755514,1,0,1,0
0.001761292,1,0,0,0
0.001761294,0,0,0,0
0.001761394,0,1,0,1
0.001767174,0,0,0,0
0.001767274,1,0,1,0
0.001773054,0,0,0,0
0.001773154,0,1,0,0
0.001773156,0,1,0,1
0.001778934,0,0,0,0
0.001779034,1,0,1,0
0.001784814,0,0,0,0
0.001784916,0,1,0,1
0.001790694,0,0,0,1
0.001790696,0,0,0,0
0.001790794,1,0,1,0
0.001796574,0,0,0,0
0.001796676,0,1,0,1
0.001802454,0,0,0,1
0.001802456,0,0,0,0
0.001802554,1,0,1,0
0.001808334,0,0,0,0
0.001808436,0,1,0,1
0.001814214,0,0,0,1
0.001814216,0,0,0,0
0.001814314,0,0,1,0
0.001814316,1,0,1,0
0.001820094,1,0,0,0
0.001820096,0,0,0,0
0.001820196,0,1,0,1
0.001825976,0,0,0,0
0.001826076,1,0,1,0
0.001831854,1,0,0,0
0.001831856,0,0,0,0
0.001831956,0,1,0,1
0.001837736,0,0,0,0
0.001837836,1,0,1,0
0.001843616,0,0,0,0
0.001843716,0,1,0,0
0.001843718,0,1,0,1
0.001849496,0,0,0,0
0.001849596,1,0,1,0
0.001855374,1,0,0,0
0.001855376,0,0,0,0
0.001855476,0,1,0,1
0.001861256,0,0,0,0
0.001861356,1,0,1,0
0.001867136,0,0,0,0
0.001867238,0,1,0,1
0.001873016,0,0,0,1
0.001873018,0,0,0,0
0.001873116,1,0,1,0
0.001878896,0,0,0,0
0.001878996,0,1,0,0
0.001878998,0,1,0,1
0.001884776,0,0,0,1
0.001884778,0,0,0,0
0.001884876,1,0,1,0
0.001890656,0,0,0,0
0.001890758,0,1,0,1
0.001896536,0,0,0,1
0.001896538,0,0,0,0
0.001896636,0,0,1,0
0.001896638,1,0,1,0
0.001902416,0,0,0,0
0.001902518,0,1,0,1
0.001908298,0,0,0,0
0.001908396,0,0,1,0
0.001908398,1,0,1,0
0.001914176,1,0,0,0
0.001914178,0,0,0,0
0.001914278,0,1,0,1
0.001920058,0,0,0,0
0.001920158,1,0,1,0
0.001925936,1,0,0,0
0.001925938,0,0,0,0
0.001926038,0,1,0,1
0.001931818,0,0,0,0
0.001931918,1,0,1,0
0.001937698,0,0,0,0
0.001937798,0,1,0,0
0.001937800,0,1,0,1
0.001943578,0,0,0,1
0.001943580,0,0,0,0
0.001943678,1,0,1,0
0.001949458,0,0,0,0
0.001949560,0,1,0,1
0.001955338,0,0,0,1
0.001955340,0,0,0,0
0.001955438,1,0,1,0
0.001961218,0,0,0,0
0.001961320,0,1,0,1
0.001967098,0,0,0,1
0.001967100,0,0,0,0
0.001967198,0,0,1,0
0.001967200,1,0,1,0
0.001972978,0,0,0,0
0.001973080,0,1,0,1
0.001978860,0,0,0,0
0.001978958,0,0,1,0
0.001978960,1,0,1,0
0.001984738,0,0,0,0
0.001984840,0,1,0,1
0.001990620,0,0,0,0
0.001990718,0,0,1,0
0.001990720,1,0,1,0
0.001996498,1,0,0,0
0.001996500,0,0,0,0
0.001996600,0,1,0,1
0.002002380,0,0,0,0
0.002002480,1,0,1,0
0.002008260,0,0,0,0
0.002008360,0,1,0,0
0.002008362,0,1,0,1
0.002014140,0,0,0,0
0.002014240,1,0,1,0
0.002020020,0,0,0,0
0.002020120,0,1,0,0
0.002020122,0,1,0,1
0.002025900,0,0,0,1
0.002025902,0,0,0,0
0.002026000,1,0,1,0
0.002031780,0,0,0,0
0.002031882,0,1,0,1
0.002037660,0,0,0,1
0.002037662,0,0,0,0
0.002037760,1,0,1,0
0.002043540,0,0,0,0
0.002043642,0,1,0,1
0.002049420,0,0,0,1
0.002049422,0,0,0,0
0.002049520,0,0,1,0
0.002049522,1,0,1,0
0.002055300,1,0,0,0
0.002055302,0,0,0,0
0.002055402,0,1,0,1
0.002061182,0,0,0,0
0.002061280,0,0,1,0
0.002061282,1,0,1,0
0.002067060,1,0,0,0
0.002067062,0,0,0,0
0.002067162,0,1,0,1
0.002072942,0,0,0,0
0.002073042,1,0,1,0
0.002078820,1,0,0,0
0.002078822,0,0,0,0
0.002078922,0,1,0,1
0.002084702,0,0,0,0
0.002084802,1,0,1,0
0.002090582,0,0,0,0
0.002090682,0,1,0,0
0.002090684,0,1,0,1
0.002096462,0,0,0,0
0.002096562,1,0,1,0
0.002102342,0,0,0,0
0.002102442,0,1,0,0
0.002102444,0,1,0,1
0.002108222,0,0,0,1
0.002108224,0,0,0,0
0.002108322,1,0,1,0
0.002114102,0,0,0,0
0.002114204,0,1,0,1
0.002119982,0,0,0,1
0.002119984,0,0,0,0
0.002120082,1,0,1,0
0.002125862,0,0,0,0
0.002125964,0,1,0,1
0.002131744,0,0,0,0
0.002131842,0,0,1,0
0.002131844,1,0,1,0
0.002137622,1,0,0,0
0.002137624,0,0,0,0
0.002137724,0,1,0,1
0.002143504,0,0,0,0
0.002143602,0,0,1,0
0.002143604,1,0,1,0
0.002149382,1,0,0,0
0.002149384,0,0,0,0
0.002149484,0,1,0,1
0.002155264,0,0,0,0
0.002155364,1,0,1,0
0.002161142,1,0,0,0
0.002161144,0,0,0,0
0.002161244,0,1,0,1
0.002167024,0,0,0,0
0.002167124,1,0,1,0
0.002172904,0,0,0,0
0.002173004,0,1,0,0
0.002173006,0,1,0,1
0.002178784,0,0,0,0
0.002178884,1,0,1,0
0.002184664,0,0,0,0
0.002184766,0,1,0,1
0.002190544,0,0,0,0
0.002190644,1,0,1,0
0.002196424,0,0,0,0
0.002196526,0,1,0,1
0.002202304,0,0,0,1
0.002202306,0,0,0,0
0.002202404,0,0,1,0
0.002202406,1,0,1,0
0.002208184,1,0,0,0
0.002208186,0,0,0,0
0.002208286,0,1,0,1
0.002214066,0,0,0,0
0.002214166,1,0,1,0
0.002219944,1,0,0,0
0.002219946,0,0,0,0
0.002220046,0,1,0,1
0.002225826,0,0,0,0
0.002225926,1,0,1,0
